state,threshold,threshold_label,MAE,MSE,peak_timing_error,peak_magnitude_error
Tennessee,0.25,1/4,3.820887041893355,22.148904468358992,5,8.622877873825498
Tennessee,0.33,1/3,2.5206251218087674,13.92973394828566,5,7.197705537897643
Tennessee,0.5,1/2,2.3353111534611286,7.8464188334184355,5,4.41067546123835
Tennessee,0.67,2/3,2.406469343273485,8.066883802603565,5,4.377732857682155
Tennessee,0.75,3/4,2.40646899735909,8.066883189753911,5,4.377733466881853
Texas,0.0,0,1.1286926831388728,2.846788613372471,11,5.849886082732576
Texas,0.25,1/4,1.1286926831388728,2.846788613372471,11,5.849886082732576
Texas,0.33,1/3,1.2790892253880748,4.11945269651807,5,6.458880988627937
Texas,0.5,1/2,1.42869120993231,3.3397684114752964,5,5.38646197640245
Texas,0.67,2/3,2.227074781188319,5.879287122803909,0,5.039805559763496
Texas,0.75,3/4,5.0590744895016755,27.444756980901463,0,2.0446045383477607
Utah,0.0,0,0.7497416043611563,1.0996293009740123,0,1.7920742538600272
Utah,0.25,1/4,1.225979698422056,2.292061611114488,0,2.277564006572846
Utah,0.33,1/3,1.2615736271342166,2.3681202428407184,0,2.2872192386407364
Utah,0.5,1/2,1.097779616035718,1.8701170006144001,0,1.9940702156451944
Utah,0.67,2/3,0.6722429929626861,0.9562967878677605,0,1.407901517842285
Utah,0.75,3/4,0.6722429929626861,0.9562967878677605,0,1.407901517842285
Vermont,0.0,0,1.2235205865235035,2.8013327541824347,8,2.9154714037620177
Vermont,0.25,1/4,2.6418933970645666,8.380116565019783,7,4.794511388405964
Vermont,0.33,1/3,0.8695769234261618,1.8448789706095805,2,3.6074346777270923
Vermont,0.5,1/2,1.18429861596296,1.7968744154416323,2,2.3451708921439653
Vermont,0.67,2/3,1.1842986179697201,1.796874419452489,2,2.3451708918223586
Vermont,0.75,3/4,1.1842986179697201,1.796874419452489,2,2.3451708918223586
Virgin Islands,0.0,0,0.8262962658415355,1.058787342939945,5,1.1323490725299257
Virgin Islands,0.25,1/4,0.8217160896602688,1.0745846702691582,5,1.251779141931828
Virgin Islands,0.33,1/3,0.8217161896078626,1.0745843157920953,5,1.2517405373815214
Virgin Islands,0.5,1/2,0.8784765703081922,1.183770280117151,5,1.2438002407489286
Virgin Islands,0.67,2/3,0.8784765703081922,1.183770280117151,5,1.2438002407489286
Virgin Islands,0.75,3/4,0.8784765703081922,1.183770280117151,5,1.2438002407489286
Virginia,0.0,0,1.1084493700141587,2.883981159444299,6,3.2666657496442815
Virginia,0.25,1/4,1.2621867258553607,3.2649414128004324,6,3.207061547148643
Virginia,0.33,1/3,1.2475973281930788,4.469991799658605,6,3.797180433190211
Virginia,0.5,1/2,1.4003224064755524,5.433403696620479,6,4.087201502875036
Virginia,0.67,2/3,2.1989158116447105,5.742074834232995,2,4.329526735426272
Virginia,0.75,3/4,4.8046820407702056,26.055151729459247,32,1.1707649305097192
Washington,0.0,0,1.377378443337164,5.887671392161279,11,4.566174322288927
Washington,0.25,1/4,2.6158943720610917,11.77767859799356,8,6.384119630210783
Washington,0.33,1/3,1.6231763118216396,5.777303582166494,7,5.141310120659438
Washington,0.5,1/2,2.569978382167137,7.714593589567477,5,3.56213603753966
Washington,0.67,2/3,2.569978382167137,7.714593589567477,5,3.56213603753966
Washington,0.75,3/4,2.569978382167137,7.714593589567477,5,3.56213603753966
West Virginia,0.0,0,1.1200693212385824,1.5784817575996526,7,1.4441213691518962
West Virginia,0.25,1/4,1.1200685283356813,1.5784796007389572,7,1.444122594401012
West Virginia,0.33,1/3,1.1200685283356813,1.5784796007389572,7,1.444122594401012
West Virginia,0.5,1/2,0.7702071312388566,1.2075559392768727,2,2.9760531566914823
West Virginia,0.67,2/3,0.7770232078878897,0.8890088030074925,1,2.0123811790608728
West Virginia,0.75,3/4,0.7770517013262275,0.8890456072636229,1,2.0123713290842042
Wisconsin,0.0,0,0.616571313089967,1.288841151167835,6,2.6400219422553315
Wisconsin,0.25,1/4,0.930981861585053,2.2210584621059244,6,3.046042309943433
Wisconsin,0.33,1/3,0.9561796334897523,2.311556370949058,6,3.0238447407073465
Wisconsin,0.5,1/2,0.8159410008369482,1.7135958556434623,6,2.6192687127664342
Wisconsin,0.67,2/3,1.4361400024593467,2.2592071948140724,5,2.1219920642958856
Wisconsin,0.75,3/4,1.4361400024593467,2.2592071948140724,5,2.1219920642958856
Wyoming,0.0,0,0.8093619076188846,1.0306866112090318,6,0.47226031421211534
Wyoming,0.25,1/4,0.8513259822084254,1.056235588878307,6,0.8033247050545063
Wyoming,0.33,1/3,1.7191926457823177,3.581565413468954,6,2.0322582596829197
Wyoming,0.5,1/2,3.040859863276043,9.756510797421734,6,3.2677555771274545
Wyoming,0.67,2/3,2.2286225021852144,5.419155887983256,6,2.3234052049639797
Wyoming,0.75,3/4,2.2286225021852144,5.419155887983256,6,2.3234052049639797
